"","condition","director","matcher","dyad","trial_no","round_no","target","clue","guess","success","RT","symmetry","FAS_d","BAS_d","FAS_m","BAS_m","clue_rank","guess_rank","oc_c_ratio","clue_zipf","max_BAS","difficulty"
"18",0,1,2,"1",18,1,"treatment","medicine","pills",0,12.65418696,"0",0.0673758865248227,0.00348432055749129,0.127586206896552,0.0348432055749129,79,7,8.34909090909091,4.53362957343966,0.0290909090909091,"1"
"19",0,2,1,"1",19,1,"science","labs","science",1,38.98567009,"0",NA,NA,NA,NA,NA,NA,NA,3.61198042825551,0.176470588235294,"3"
"20",0,1,2,"1",20,1,"film","movie","film",1,8.38450718,"1",0.259259259259259,0.155709342560554,0.259259259259259,0.155709342560554,2,1,1.0140350877193,5.08924019182084,0.157894736842105,"2"
"21",0,2,1,"1",21,2,"door","threshold","door",1,34.48623204,"1",0.00675675675675676,0.106463878326996,0.00675675675675676,0.106463878326996,21,1,2.69909688013136,NA,0.28735632183908,"4"
"22",0,1,2,"1",22,2,"president","trump","donald",0,14.55328012,"1",NA,NA,0.268199233716475,0.102661596958175,NA,2,NA,NA,0.263513513513513,"4"
"23",0,2,1,"1",23,2,"situation","scenario","occurrence",0,47.04328895,"0",0.00380228136882129,0.143410852713178,0.00409836065573771,0.00387596899224806,2,88,1.01176470588235,3.79698412046437,0.145098039215686,"2"
"24",0,1,2,"1",24,2,"message","text","message",1,9.71850491,"1",0.114982578397213,0.0915492957746479,0.114982578397213,0.0915492957746479,2,2,1.1798445456982,NA,0.10801393728223,"2"
"25",0,2,1,"1",25,2,"vehicle","car","motor",0,22.83550191,"1",0.292517006802721,0.0513698630136986,0.184931506849315,0.00684931506849315,3,38,1.08524970963995,5.68342196565441,0.0557491289198606,"1"
"26",0,1,2,"1",26,2,"relationship"," love","desire",0,13.47657704,"0",NA,NA,NA,NA,NA,NA,NA,NA,0.0839160839160839,"1"
"27",0,2,1,"1",27,2,"sense","common","same",0,24.57190013,"1",0.0853242320819113,0.0443686006825939,0.00355871886120996,0.0068259385665529,6,42,3.71221719457014,4.64900639986749,0.164705882352941,"3"
"28",0,1,2,"1",28,2,"future","plan","outline",0,26.86341882,"1",0.0103806228373702,0.0238907849829352,0.014336917562724,0.0102389078498294,50,24,6.16010781671159,5.16299827494741,0.147169811320755,"2"
"29",0,2,1,"1",29,2,"weight","pounds","weight",1,17.66974688,"0",0.0443686006825939,0.271428571428571,0.0443686006825939,0.271428571428571,1,1,1,4.49486702915917,0.271428571428571,"4"
"30",0,1,2,"1",30,2,"purpose","meaning","reason",0,15.49057508,"0",0.0854092526690391,0.0144404332129964,0.00701754385964912,0.0144404332129964,17,12,6.24812030075188,4.5717291221561,0.0902255639097744,"1"
"31",0,2,1,"1",31,2,"dog","canine","dog",1,6.39067316,"0",0.0413793103448276,0.301075268817204,0.0413793103448276,0.301075268817204,7,1,1.08281004709576,3.23135339476308,0.326007326007326,"4"
"32",0,1,2,"1",32,2,"percent","probability","chance",0,52.47133803,"0",0.00355871886120996,0.00684931506849315,0.0138888888888889,0.147260273972603,16,1,5.67491166077739,3.35253198249807,0.03886925795053,"1"
"33",0,2,1,"1",33,2,"summer","july","summer",1,11.49631691,"0",0.00335570469798658,0.183453237410072,0.00335570469798658,0.183453237410072,2,1,1.00461754667737,4.0821193061777,0.184300341296928,"3"
"34",0,1,2,"1",34,2,"comment","opinion","choice",0,80.09590292,"0",0.102836879432624,NA,NA,NA,NA,NA,NA,4.62285631318629,0.121673003802281,"2"
"35",0,2,1,"1",35,2,"force","strength","strong",0,19.73301101,"0",0.0314685314685315,0.0205479452054795,0.013745704467354,0.0993150684931507,37,2,9.44278606965174,4.56691504060132,0.194029850746269,"3"
"36",0,1,2,"1",36,2,"review","examine","test",0,13.48865604,"0",0.00364963503649635,0.0106382978723404,NA,0.0957446808510638,22,2,8.15702479338843,3.99512552026312,0.0867768595041322,"1"
"37",0,2,1,"1",37,2,"club","group","together",0,52.88014984,"1",0.0572390572390572,0.00699300699300699,0.0280701754385965,0.027972027972028,76,8,26.3159722222222,4.86736836046432,0.184027777777778,"3"
"38",0,1,2,"1",38,2,"picture","photo","picture",1,7.11650801,"1",0.114478114478114,0.206293706293706,0.114478114478114,0.206293706293706,4,1,1.19526352449501,4.35853269256746,0.246575342465753,"4"
"39",0,2,1,"1",39,2,"girl","woman","lady",0,14.21600199,"1",0.104377104377104,0.0847457627118644,0.188356164383562,0.0576271186440678,15,4,3.10296296296296,NA,0.262962962962963,"4"
"40",0,1,2,"1",40,2,"difference","differ","mix",0,80.59267497,"0",0.0072992700729927,0.00754716981132075,NA,NA,32,NA,17.1145833333333,3.38874415515252,0.129166666666667,"2"
"41",0,2,1,"1",41,3,"box","cardboard","box",1,16.08429194,"1",0.0921501706484642,0.267441860465116,0.0921501706484642,0.267441860465116,1,1,1,3.43484894239855,0.267441860465116,"4"
"42",0,1,2,"1",42,3,"record","vinyl","record",1,18.72672606,"1",0.0348432055749129,0.199312714776632,0.0348432055749129,0.199312714776632,1,1,1,NA,0.199312714776632,"3"
"43",0,2,1,"1",43,3,"news","paper","news",1,17.78327322,"0",0.155932203389831,0.0540540540540541,0.155932203389831,0.0540540540540541,18,2,2.95748299319728,5.01380954373041,0.159863945578231,"2"
"44",0,1,2,"1",44,3,"mind","thought","idea",0,8.91831803,"0",0.0582191780821918,0.0909090909090909,0.195035460992908,0.134545454545455,5,1,2.00760456273764,NA,0.182509505703422,"3"
"45",0,2,1,"1",45,3,"network","social","extrovert",0,45.57578301,"1",0.0839160839160839,0.0677966101694915,0.0240549828178694,0.00338983050847458,1,76,1,4.52330373257514,0.0677966101694915,"1"
"46",0,1,2,"1",46,3,"store","shop","store",1,5.74738598,"0",0.123239436619718,0.169611307420495,0.123239436619718,0.169611307420495,5,1,1.24802311435523,4.72831483715396,0.211678832116788,"3"
"47",0,2,1,"1",47,3,"method","procedure","treatment",0,22.36168003,"1",0.0261194029850746,0.0326086956521739,0.00354609929078014,NA,6,NA,2.55555555555556,4.20776135384158,0.0833333333333333,"1"
"48",0,1,2,"1",48,3,"war","peace","harmony",0,23.03928804,"0",0.0942760942760943,0.0982456140350877,0.112244897959184,0.0210526315789474,24,8,3.07553956834532,4.84218481444608,0.302158273381295,"4"
"49",0,2,1,"1",49,3,"resource","supply","stock",0,34.91612387,"0",0.0142348754448399,0.00709219858156028,0.00694444444444444,0.0141843971631206,6,10,1.63320463320463,4.27092704278279,0.0115830115830116,"1"
"50",0,1,2,"1",50,3,"location","place","building",0,30.41901493,"1",0.212014134275618,0.0848056537102474,NA,0.00706713780918728,2,24,1.45259661835749,5.7794956192631,0.123188405797101,"2"
"51",0,2,1,"1",51,3,"degree","student","study",0,13.10706902,"0",NA,0.00340136054421769,0.00341296928327645,0.0578231292517007,159,4,34.4689655172414,4.63346647792251,0.117241379310345,"2"
"52",0,1,2,"1",52,3,"set","matching","set",1,50.20482802,"0",0.00346020761245675,NA,0.00346020761245675,NA,NA,NA,NA,3.6554461220366,0.15916955017301,"2"
"53",0,2,1,"1",53,3,"foot","toes","feet",0,12.16872382,"0",0.0540540540540541,0.0372881355932203,0.150170648464164,0.186440677966102,23,1,6.15965306778028,NA,0.229681978798587,"3"
"54",0,1,2,"1",54,3,"example","practice","study",0,74.15901804,"0",0.00398406374501992,NA,0.0068259385665529,0.020979020979021,NA,11,NA,4.65937641566504,0.08,"1"
"55",0,2,1,"1",55,3,"unit","storage","container",0,35.26256514,"0",0.0034965034965035,0.0379310344827586,0.017921146953405,0.0344827586206897,1,5,1,3.94793234415729,0.0379310344827586,"1"
"56",0,1,2,"1",56,3,"view","vista","villa",0,17.25704408,"1",0.0530035335689046,0.179591836734694,NA,0.00408163265306122,1,112,1,NA,0.179591836734694,"3"
"57",0,2,1,"1",57,3,"phone","telephone","cell",0,30.11284804,"1",0.0274914089347079,0.0238095238095238,NA,0.054421768707483,54,3,10.4285714285714,4.50984418512882,0.248299319727891,"4"
"58",0,1,2,"1",58,3,"oil","olive","oil",1,9.9337759,"1",0.0510204081632653,0.214285714285714,0.0510204081632653,0.214285714285714,1,1,1,3.86702198707212,0.214285714285714,"3"
"59",0,2,1,"1",59,3,"patient","doctor","nurse",0,11.01394701,"1",0.159574468085106,0.037542662116041,0.159863945578231,0.0784982935153584,3,2,1.52207792207792,5.42094372836519,0.0571428571428571,"1"
"60",0,1,2,"1",60,3,"road","highway","road",1,9.59968615,"1",0.0536912751677852,0.175862068965517,0.0536912751677852,0.175862068965517,3,1,1.24323564551269,4.25182898047288,0.218637992831541,"3"
"61",0,2,1,"1",61,4,"rule","law","police",0,23.65553689,"0",0.143344709897611,0.0821917808219178,0.0538720538720539,0.0821917808219178,7,1,2.20818505338078,5.06510849048191,0.181494661921708,"3"
"62",0,1,2,"1",62,4,"code","programming","installing",0,13.48917484,"1",0.0205479452054795,0.024822695035461,NA,NA,18,NA,12.2125984251969,3.49866001817631,0.303149606299213,"4"
"63",0,2,1,"1",63,4,"choice","select","choose",0,5.35955811,"1",0.0207612456747405,0.0485074626865672,0.149305555555556,0.242537313432836,18,1,5.802849002849,3.54951271701364,0.281481481481481,"4"
"64",0,1,2,"1",64,4,"guy","gal","woman",0,6.91426396,"0",0.0640569395017794,0.0553505535055351,NA,0.0848708487084871,3,2,2.98990610328639,4.15277076284455,0.165492957746479,"3"
"65",0,2,1,"1",65,4,"article","journal","diary",0,9.94671106,"1",0.0310344827586207,0.0134228187919463,0.126279863481229,0.12751677852349,20,1,4.29807692307692,3.94888999500156,0.0576923076923077,"1"
"66",0,1,2,"1",66,4,"light","bulb","light",1,5.14792895,"1",0.09,0.298181818181818,0.09,0.298181818181818,1,1,1,3.59503019956495,0.298181818181818,"4"
"67",0,2,1,"1",67,4,"employee","worker","employee",1,13.06535888,"1",0.149825783972125,0.0577617328519856,0.149825783972125,0.0577617328519856,4,2,1.28717472118959,NA,0.0743494423791822,"1"
"68",0,1,2,"1",68,4,"heart","cardiac","arrest",0,34.7207911,"0",0.00335570469798658,0.298932384341637,0.0235690235690236,0.231316725978648,2,2,1.02622841965471,3.59933018005767,0.306772908366534,"4"
"69",0,2,1,"1",69,4,"look","see","view",0,6.19252992,"0",0.221476510067114,0.0983050847457627,0.176678445229682,0.0610169491525424,13,3,2.3182031433263,6.40709175020568,0.227891156462585,"3"
"70",0,1,2,"1",70,4,"role","play","fun",0,19.55963016,"1",0.160278745644599,NA,0.0410958904109589,0.0915254237288136,NA,1,NA,5.54908060705183,0.0442176870748299,"1"
"71",0,2,1,"1",71,4,"tax",NA,"feline",0,27.49555492,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.16,"2"
"72",0,1,2,"1",72,4,"department","store","shop",0,21.40752888,"0",0.211678832116788,0.00704225352112676,0.169611307420495,0.123239436619718,14,1,3.14391143911439,4.91290651328809,0.022140221402214,"1"
"73",0,2,1,"1",73,4,"style","fashion","clothes",0,10.08225894,"1",0.176258992805755,0.0830449826989619,0.0378006872852234,0.124567474048443,2,1,1.07835820895522,4.273199651223,0.0895522388059701,"1"
"74",0,1,2,"1",74,4,"air","breathe","lungs",0,12.52883291,"1",0.130434782608696,0.184397163120567,0.130281690140845,0.0886524822695035,2,2,1.19270420301348,4.68540934541405,0.219931271477663,"3"
"75",0,2,1,"1",75,4,"staff","workers","employees",0,15.84209204,"0",0.0308219178082192,0.0217391304347826,NA,0.0688405797101449,5,1,4.27142857142857,NA,0.0928571428571429,"1"
"76",0,1,2,"1",76,4,"client","sell","buy",0,86.59450507,"1",NA,NA,0.0968858131487889,0.214035087719298,NA,1,NA,4.96448606498446,0.0714285714285714,"1"
"77",0,2,1,"1",77,4,"parent","father","dad",0,18.32175899,"0",0.139455782312925,0.0238907849829352,0.234042553191489,0.167235494880546,19,2,4.66699850671976,5.74331354726932,0.111498257839721,"2"
"78",0,1,2,"1",78,4,"period","tampon","period",1,12.21802998,"1",0.00684931506849315,0.144827586206897,0.00684931506849315,0.144827586206897,2,2,1.27865961199295,2.83590218649474,0.185185185185185,"3"
"79",0,2,1,"1",79,4,"park","yard","garden",0,26.9607079,"0",NA,NA,0.00668896321070234,0.0551724137931034,NA,2,NA,NA,0.232727272727273,"3"
"80",0,1,2,"1",80,4,"ability","talent","show",0,13.9522779,"0",0.0760456273764259,0.0528169014084507,0.00342465753424658,0.0915492957746479,6,2,3.08383838383838,4.41666429155832,0.162878787878788,"2"
"81",0,2,1,"1",81,5,"show","presentation","oral",0,20.60770512,"1",0.00342465753424658,0.039568345323741,0.00687285223367698,0.00719424460431655,28,31,6.45454545454546,3.85886050830352,0.255395683453237,"4"
"82",0,1,2,"1",82,5,"condition","syndrome","stockholm",0,13.91826582,"2",NA,0.010752688172043,NA,0.025089605734767,14,8,2.6013986013986,3.79833917454933,0.027972027972028,"1"
"83",0,2,1,"1",83,5,"access","entry","doorway",0,19.03888607,"1",0.0367647058823529,0.0313588850174216,0.0421052631578947,0.0174216027874564,2,9,1.23949744797801,4.08492574232104,0.03886925795053,"1"
"84",0,1,2,"1",84,5,"age","old","aged",0,13.87185097,"1",0.128919860627178,0.0644067796610169,0.253424657534247,0.0542372881355932,10,4,2.45740249905339,5.78399364420117,0.158273381294964,"2"
"85",0,2,1,"1",85,5,"test","exam","test",1,5.17384505,"1",0.132867132867133,0.256756756756757,0.132867132867133,0.256756756756757,1,1,1,4.12752471363689,0.256756756756757,"4"
"86",0,1,2,"1",86,5,"board","game","sport",0,8.28164792,"0",0.0655172413793104,0.0506756756756757,0.0510204081632653,0.0168918918918919,17,10,3.69160997732426,5.36836536139827,0.187074829931973,"3"
"87",0,2,1,"1",87,5,"goal","goalie","football",0,12.98414302,"1",0.0103806228373702,0.0364963503649635,NA,0.0656934306569343,24,3,4.87544483985765,3.16106586187544,0.177935943060498,"3"
"88",0,1,2,"1",88,5,"position","placement","put",0,19.23980904,"0",0.0136986301369863,0.051792828685259,NA,0.0239043824701195,3,9,1.96587412587413,3.28746933674201,0.101818181818182,"2"
"89",0,2,1,"1",89,5,"benefit","advantage","cheat",0,17.78833604,"0",0.0274914089347079,0.0411985018726592,0.00355871886120996,0.0149812734082397,2,12,2.19067935674434,4.34337253265979,0.0902527075812274,"1"
"90",0,1,2,"1",90,5,"detail","specific","type",0,17.47233796,"0",0.0179856115107914,0.0545454545454545,NA,NA,1,NA,1,4.25039802536643,0.0545454545454545,"1"
"91",0,2,1,"1",91,5,"risk","danger","warning",0,20.70654798,"0",0.0866425992779783,0.0272108843537415,0.130281690140845,0.0408163265306122,12,3,3.56438127090301,4.63974932864615,0.096989966555184,"2"
"92",0,1,2,"1",92,5,"email","mail","letters",0,68.74667192,"0",0.0445205479452055,0.0735785953177258,0.0785714285714286,0.0301003344481605,8,7,3.13247718823927,4.56599199140814,0.230483271375465,"3"
"93",0,2,1,"1",93,5,"skill","talent","show",0,6.2957468,"1",0.0880281690140845,0.0985915492957746,0.00342465753424658,0.0915492957746479,4,2,1.26785714285714,4.41666429155832,0.125,"2"
"94",0,1,2,"1",94,5,"security","national","pride",0,12.66739106,"0",NA,0.0106382978723404,0.00374531835205993,0.0851063829787234,32,2,13.3819444444444,4.58120009366449,0.142361111111111,"2"
"95",0,2,1,"1",95,5,"policy","legislation","law",0,10.04829502,"1",0.0036101083032491,0.00337837837837838,0.0136986301369863,0.155405405405405,88,1,16.5017421602787,3.01611001174525,0.0557491289198606,"1"
"96",0,1,2,"1",96,5,"device","gadget","tool",0,18.98985505,"0",0.055363321799308,0.0174825174825175,NA,0.0874125874125874,7,2,3.92346570397112,3.38874415515252,0.0685920577617329,"1"
"97",0,2,1,"1",97,5,"solution","answer","question",0,9.12242007,"2",0.124137931034483,0.0517241379310345,0.197916666666667,0.227586206896552,5,1,2.08826945412311,5.2454488838351,0.10801393728223,"2"
"98",0,1,2,"1",98,5,"education","school","university",0,10.82327509,"1",0.175084175084175,0.0412371134020619,0.106896551724138,0.00687285223367698,10,38,2.25775862068966,5.52202752101351,0.0931034482758621,"2"
"99",0,2,1,"1",99,5,"character","actor","actress",0,21.39794803,"0",0.0547945205479452,NA,0.106164383561644,0.0968858131487889,NA,1,NA,4.42023341086227,0.127147766323024,"2"
"100",0,1,2,"1",100,5,"material","cloth","towel",0,16.98024082,"2",0.0709219858156028,0.0315789473684211,0.0273037542662116,0.0210526315789474,5,9,2.52893518518519,3.7859887361629,0.0798611111111111,"1"
"101",0,2,1,"1",101,6,"organization","gathering","crowd",0,34.08557796,"0",0.00343642611683849,0.00350877192982456,0.0207612456747405,0.0210526315789474,177,9,14.1992882562278,3.86120805175951,0.0498220640569395,"1"
"102",0,1,2,"1",102,6,"interest","compound","prison",0,27.912956,"0",0.0109489051094891,0.024822695035461,NA,0.0177304964539007,8,13,3.1685393258427,3.85054271267763,0.0786516853932584,"1"
"103",0,2,1,"1",103,6,"source","origin","start",0,10.149441,"1",0.0766423357664234,0.027681660899654,NA,0.103806228373702,3,2,1.80625,3.64976898914491,0.05,"1"
"104",0,1,2,"1",104,6,"top","summit","complete",0,20.82199717,"2",0.00344827586206897,0.180212014134276,NA,NA,4,NA,1.29917522564581,3.52483025253661,0.234126984126984,"4"
"105",0,2,1,"1",105,6,"court","jury","court",1,22.43738985,"0",0.0338983050847458,0.112627986348123,0.0338983050847458,0.112627986348123,10,2,1.47979797979798,4.63068888839678,0.166666666666667,"3"
"106",0,1,2,"1",106,6,"kind","caring","parent",0,30.25327992,"0",0.0309278350515464,0.0592334494773519,0.00680272108843537,0.0104529616724739,25,21,2.93345848977889,3.84813664291175,0.173758865248227,"3"
"107",0,2,1,"1",107,6,"training","learning","study",0,17.57223701,"0",0.0616438356164384,0.00680272108843537,NA,0.0136054421768707,42,13,13.1641791044776,4.3076128985335,0.0895522388059701,"1"
"108",0,1,2,"1",108,6,"college","university","professor",0,14.21773291,"1",0.151515151515152,0.162068965517241,0.0902777777777778,0.0172413793103448,2,9,1.03897053447393,NA,0.168384879725086,"3"
"109",0,2,1,"1",109,6,"term","phrase","sentence",0,18.52395201,"2",0.0102739726027397,0.0034965034965035,0.0380622837370242,0.185314685314685,48,1,20.639175257732,3.95928709503441,0.0721649484536082,"1"
"110",0,1,2,"1",110,6,"history"," museum","artifacts",0,27.09383202,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.156488549618321,"2"
"111",0,2,1,"1",111,6,"photo","picture","photo",1,8.24682999,"1",0.206293706293706,0.114478114478114,0.206293706293706,0.114478114478114,2,2,1.54881101376721,5.14076185537154,0.177304964539007,"3"
"112",0,1,2,"1",112,6,"building","structure","building",1,36.10770082,"0",0.0416666666666667,0.268292682926829,0.0416666666666667,0.268292682926829,1,1,1,4.00783748577926,0.268292682926829,"4"
"113",0,2,1,"1",113,6,"media","social","club",0,8.6263752,"0",0.0334448160535117,0.0203389830508475,0.00336700336700337,0.0101694915254237,9,20,2.9327485380117,4.52330373257514,0.0596491228070175,"1"
"114",0,1,2,"1",114,6,"version","newest","new",0,14.68641114,"1",NA,NA,NA,NA,NA,NA,NA,3.59718551159108,0.0145454545454545,"1"
"115",0,2,1,"1",115,6,"eye","eye pupil","iris",0,22.49229002,"0",NA,NA,NA,NA,NA,NA,NA,NA,0.334630350194553,"4"
"116",0,1,2,"1",116,6,"action","adventure","action",1,15.66938281,"1",0.00350877192982456,0.0069204152249135,0.00350877192982456,0.0069204152249135,117,24,17.3604240282686,4.12815825785121,0.120141342756184,"2"
"117",0,2,1,"1",117,6,"credit","card","credit",1,30.73283505,"0",0.207746478873239,0.0472972972972973,0.207746478873239,0.0472972972972973,4,3,3.76207422470768,4.9311213680547,0.177935943060498,"3"
"118",0,1,2,"1",118,6,"energy","electricity","power",0,19.01022196,"0",0.0244755244755245,0.034965034965035,0.0813559322033898,0.146853146853147,32,1,6.63346007604563,4.05899000822664,0.231939163498099,"3"
"119",0,2,1,"1",119,6,"piece","part","section",0,10.40976906,"0",0.0896551724137931,0.115646258503401,0.152777777777778,0.0408163265306122,4,5,1.98161764705882,5.41692485522709,0.229166666666667,"3"
"120",0,1,2,"1",120,6,"date","calendar","date",1,14.31810689,"1",0.0949152542372881,0.0909090909090909,0.0949152542372881,0.0909090909090909,2,3,1.07692307692308,3.85293552579352,0.0979020979020979,"2"
"121",0,4,3,"2",1,1,"book","read","book",1,13.09744215,"0",0.178451178451178,0.178947368421053,0.178451178451178,0.178947368421053,10,1,1.59389529007479,5.38184516615161,0.285223367697594,"4"
"122",0,3,4,"2",2,1,"list","bullet points","list",1,23.61870003,"1",0.00344827586206897,NA,0.00344827586206897,NA,NA,NA,NA,NA,0.226480836236934,"3"
"123",0,4,3,"2",3,1,"question","ask","question",1,25.9290781,"1",0.0972222222222222,0.212328767123288,0.0972222222222222,0.212328767123288,4,1,1.25591397849462,5.68349247086693,0.266666666666667,"4"
"124",0,3,4,"2",4,1,"problem","solve","answer",0,16.96424389,"1",0.0836236933797909,0.149466192170818,NA,0.0462633451957295,5,4,1.56032306915699,4.28965722289019,0.23321554770318,"4"
"125",0,4,3,"2",5,1,"class","lesson","teach",0,48.8999691,"0",0.00673400673400673,0.0410958904109589,0.00684931506849315,0.089041095890411,13,2,2.06360424028269,4.50800004443045,0.0848056537102474,"1"
"126",0,3,4,"2",6,1,"color","hue","color",1,34.99779797,"0",0.0486111111111111,0.312267657992565,0.0486111111111111,0.312267657992565,1,1,1,3.14916663857573,0.312267657992565,"4"
"127",0,4,3,"2",7,1,"project","assignment","mark",0,33.47146797,"0",0.0173611111111111,0.0392857142857143,NA,0.00357142857142857,1,66,1,4.25230491967876,0.0392857142857143,"1"
"128",0,3,4,"2",8,1,"video","film","movie",0,36.3632791,"0",0.0538720538720539,0.0168350168350168,0.155709342560554,0.259259259259259,17,1,8.45474452554745,4.81414793730113,0.142335766423358,"2"
"129",0,4,3,"2",9,1,"power","might","possibly",0,60.196486,"2",0.0203389830508475,0.0854092526690391,0.0259259259259259,0.0213523131672598,11,11,1.71940559440559,5.71236746483796,0.146853146853147,"2"
"130",0,3,4,"2",10,1,"quality","quantity","amount",0,12.55994701,"1",0.074468085106383,0.120754716981132,0.0992647058823529,0.211320754716981,1,1,1,3.27410537518403,0.120754716981132,"2"
"131",0,4,3,"2",11,1,"reason","logic","rationality",0,32.08895302,"0",0.112280701754386,0.0736842105263158,NA,0.00701754385964912,8,35,2.44485294117647,3.82712826218723,0.180147058823529,"3"
"132",0,3,4,"2",12,1,"university","college","university",1,22.98723316,"2",0.162068965517241,0.151515151515152,0.162068965517241,0.151515151515152,1,1,1,4.92982392292915,0.151515151515152,"2"
"133",0,4,3,"2",13,1,"research","experiment","test",0,17.03990793,"0",0.0068259385665529,0.0207612456747405,0.0174825174825175,0.0865051903114187,20,2,3.34002433090024,4.20933965169701,0.0693430656934307,"1"
"134",0,3,4,"2",14,1,"market","grocery store","supermarket",0,24.49448109,"0",0.00340136054421769,0.0359712230215827,0.0101351351351351,0.0323741007194245,9,5,3.92932862190813,NA,0.141342756183746,"2"
"135",0,4,3,"2",15,1,"leader","follower","leader",1,18.27767897,"1",0.0287769784172662,0.180451127819549,0.0287769784172662,0.180451127819549,1,1,1,2.83590218649474,0.180451127819549,"3"
"136",0,3,4,"2",16,1,"body","limbs","arms",0,28.89051318,"0",NA,NA,0.0318021201413428,NA,NA,NA,NA,3.41568578311155,0.203448275862069,"3"
"137",0,4,3,"2",17,1,"community","neighborhood","block",0,67.28461194,"1",0.0540540540540541,0.0547945205479452,0.0102040816326531,0.0205479452054795,2,11,1.07352941176471,4.56413998654655,0.0588235294117647,"1"
"138",0,3,4,"2",18,1,"student","learner","student",1,19.17473698,"1",0.0748299319727891,0.167272727272727,0.0748299319727891,0.167272727272727,2,1,1.47409172126266,3.08422583164271,0.246575342465753,"4"
"139",0,4,3,"2",19,1,"car","vehicle","car",1,9.257972,"1",0.0513698630136986,0.292517006802721,0.0513698630136986,0.292517006802721,2,1,1.01379310344828,NA,0.296551724137931,"4"
"140",0,3,4,"2",20,1,"information","facts","truth",0,38.48955107,"1",0.0206896551724138,0.0347222222222222,NA,0.142361111111111,19,1,3.28235294117647,4.43609691590645,0.113970588235294,"2"
"141",0,4,3,"2",21,2,"event","happening","occurring",0,48.28242993,"1",0.0719424460431655,0.127413127413127,NA,0.027027027027027,3,6,1.07668745213872,4.95638210439101,0.137184115523466,"2"
